text,label,count
X,MISC,27
Ajoutez,LOC,27
Berchem,LOC,27
Mondelé,LOC,27
Le ménage en musique,MISC,27
M. Pierlot,PER,27
Administration,ORG,26
CHAMBRE,ORG,26
DES,MISC,26
Nations Unies,ORG,26
Marie,PER,26
Propagez,PER,26
Jacques,PER,26
Union,LOC,26
Freux,LOC,26
15 fr,ORG,26
R. Hainaut,PER,26
Sneyers,MISC,26
Muno,LOC,26
OFFRES,MISC,26
Italien,LOC,26
Drame,PER,26
Schroeder,PER,26
Wanlin,PER,26
X,ORG,26
P. S. B.,PER,26
R.-Luxembourg,LOC,26
Buset,PER,26
Journal Parlé,LOC,26
Liverpool,LOC,26
Jean de Wilde,PER,26
Egypte,LOC,25
Jeudi,PER,25
Rossignol,PER,25
Katanga,LOC,25
Cot,LOC,25
Suède,LOC,25
Franco,PER,25
Fausto Coppi,PER,25
Hollandais,LOC,25
Programme symphonique,MISC,25
rue de Diekirch,LOC,25
Armée,ORG,25
Orval,LOC,25
Jacob,PER,25
Adr,PER,25
Institut,LOC,25
Naissances,PER,25
P.S.C.,PER,25
Journal,MISC,25
Mary Osborne,PER,25
M. Pirenne,PER,25
Pie XII,PER,24
s. p.,PER,24
Dette,PER,24
MOTOS,ORG,24
Adenauer,PER,24
Parquet,LOC,24
Florenville,PER,24
Léon,PER,24
Sibret,LOC,24
P.,PER,24
35 fr,LOC,24
Mussy,LOC,24
VIRTON,ORG,24
Grand'Rue,LOC,24
Dinant,LOC,24
Bonne,PER,24
Mathot,PER,24
Presse,MISC,24
Lyra,LOC,24
Ecosse,ORG,24
Banque Nationale,ORG,24
R. N. B.,PER,24
Assemblée,ORG,24
Hardy,PER,24
Mme Auriol,PER,24
Neuve,LOC,23
U,MISC,23
Léopoldville,LOC,23
Saïgon,LOC,23
Union,ORG,23
Gr,LOC,23
Louis suisse,PER,23
Indes,LOC,23
Sedan,LOC,23
Ça,MISC,23
Munich,LOC,23
Lourdes,LOC,23
Résultats,PER,23
L'Avenir du Luxembourg,ORG,23
Odeigne,LOC,23
ministre de la Défense nationale,ORG,23
ministre des Colonies,ORG,23
Conseil communal,ORG,23
Hambourg,LOC,23
BOXE,MISC,23
Thiry,PER,23
Argentine,LOC,23
Président,ORG,23
Bologne,LOC,23
ds,MISC,23
Van Uytfang,PER,23
Drake,PER,23
Annonce,MISC,23
Millie,MISC,23
Us,MISC,22
A.F.P.,PER,22
Habay-la-Neuve,LOC,22
Battincourt,LOC,22
Portugal,LOC,22
Mindszenty,PER,22
Bruxelles II,PER,22
Brab,MISC,22
Livre-or,MISC,22
BONNE PRESSE,MISC,22
Lucien,PER,22
Herstal,LOC,22
Hilversum II,PER,22
Champion,MISC,22
Amberloup,MISC,22
De L.,PER,22
Parquet,PER,22
Lejeune,LOC,22
Instruction publique,MISC,22
Seraing,LOC,22
Lux,LOC,22
Talbot,PER,22
VENTE PUBLIQUE,MISC,22
Sécurité sociale,MISC,22
Depierreux,LOC,22
Schumacker,PER,22
Anonyme,LOC,22
Heu,MISC,22
Req,LOC,22
Bulletin régional de la Météorologie Nationale,LOC,22
Office de Publicité,ORG,21
Indochine,LOC,21
Pays,LOC,21
AIGLON,ORG,21
Madrid,LOC,21
Wagner,PER,21
Reconstr,LOC,21
Pal,PER,21
B. Charl,PER,21
Bel,PER,21
Bras,LOC,21
Pacte Atlantique,ORG,21
Vanderveck,LOC,21
Brabant,LOC,21
Nerea,MISC,21
Jours,MISC,21
Limoges,LOC,21
A,MISC,21
M. Bidault,PER,21
Travaux publics,MISC,21
Mgr Cento,PER,21
DIVISION III,MISC,21
Nélis,LOC,21
Roger,PER,21
J. A.,PER,21
Gembloux,LOC,21
Thirifays,ORG,21
Fin de l'émission,MISC,21
P.S.C,MISC,21
Asie,LOC,20
Bonn,LOC,20
York,LOC,20
Mgr,PER,20
Hervé,PER,20
Jeunesse Arlonaise,MISC,20
Mar,LOC,20
Varsovie,LOC,20
Belg,PER,20
ministre de la Justice,ORG,20
Ministre,LOC,20
Mlle,LOC,20
Sabena,ORG,20
ministre des Communications,ORG,20
Zurich,LOC,20
La Butte,MISC,20
Marchai,LOC,20
Wandre,LOC,20
Franc,MISC,20
Norvège,LOC,20
Courtrai,LOC,20
N,LOC,20
Barsov,PER,20
Bolle,LOC,20
POPULAIRE,MISC,20
Saint-Pierre,LOC,20
La Louvière,LOC,20
Raymond,PER,20
Habay,LOC,20
Halanzy,LOC,20
Hodey,LOC,20
Musique de chambre,MISC,20
Philharmonie,LOC,20
Meert,PER,20
Paris National,ORG,20
Conseils,LOC,20
Ley,PER,20
BELGE,ORG,19
Pacifique,LOC,19
Z,MISC,19
Denis,PER,19
Fernand,PER,19
Soirée,MISC,19
Bru-,ORG,19
Récital,ORG,19
Tock,LOC,19
Laurent,PER,19
D. Col,PER,19
Dumont,PER,19
OFFICIEUX,LOC,19
Japon,LOC,19
Sud,LOC,19
Grupont,LOC,19
Brux,PER,19
BELGIQUE,ORG,19
Copenhague,LOC,19
Hong Kong,LOC,19
Famille,LOC,19
Charles,PER,19
Roi Albert,PER,19
O. E. C. E.,PER,19
Salmchâteau,PER,19
Maréchal,PER,19
Foreign Office,MISC,19
ministre des Affaires économiques,ORG,19
Emile,PER,19
Les,LOC,19
Syndicat d'Initiative,ORG,19
New- York,MISC,19
Jouissance,LOC,19
Ecole,MISC,19
Souverain,ORG,19
Goals J. G.,PER,19
Hasselt,LOC,19
Constitution,MISC,19
Meus,PER,19
Radio-Liège,PER,19
Ecr,PER,19
Herman,PER,19
Vietminh,ORG,19
CSC,ORG,19
Amis de Lourdes,ORG,19
Brown,PER,19
Plan Marshall,ORG,18
Budapest,LOC,18
René THILL,PER,18
O,MISC,18
Ravet,LOC,18
Criquets,LOC,18
U. Ragh,PER,18
Nieuport,LOC,18
Elect,MISC,18
IND,MISC,18
Atlantique,LOC,18
Libre Belgique,LOC,18
Hôtel de Ville,LOC,18
Gilson,PER,18
GAZ,ORG,18
Melreux,LOC,18
Grégoire,PER,18
Gouvernement britannique,MISC,18
Jérusalem,LOC,18
Danemark,LOC,18
Us,PER,18
Tito,PER,18
VALLEE,MISC,18
B.N.R.O.,MISC,18
Visé,LOC,18
Lisbonne,LOC,18
max,MISC,18
Willebroeck,PER,18
Athénée,LOC,18
La France,LOC,18
S. C.,PER,18
Grand-Place,LOC,18
Ah !,MISC,18
SOLUTION,ORG,18
Dogues,LOC,18
Beerschot,PER,18
Prince,MISC,18
Jemelle,LOC,18
Famenne,LOC,18
Tour de France,MISC,18
Bombay,LOC,18
Sporting,LOC,18
Pékin,LOC,18
ministère des Affaires étrangères,ORG,18
Mélodies,LOC,18
R.-Liège,LOC,18
Photo,ORG,18
M. Van,PER,18
FRANCS,MISC,18
Fuchs,PER,18
Trône,LOC,18
Mercedes,ORG,18
Agenda,PER,18
Garron,LOC,18
c,MISC,17
Berne,LOC,17
du Nord,LOC,17
Maroc,LOC,17
Palerme,LOC,17
Le Caire,LOC,17
Heiligsman,PER,17
Jos,PER,17
PERMANENCES,ORG,17
Président de la République,PER,17
République,LOC,17
Allemand,LOC,17
Approuve,PER,17
SOLUTION,MISC,17
Collin,PER,17
Saint-Léger,LOC,17
B. Esp,PER,17
Hen,MISC,17
Anv,PER,17
El,PER,17
Français,MISC,17
LUXEMBOURG,ORG,17
USINES,MISC,17
Poncelet,PER,17
Union Soviétique,ORG,17
Melsbroeck,PER,17
Nivelles,LOC,17
Avenir,MISC,17
Amsterdam,LOC,17
Auguste,PER,17
Schubert,PER,17
Disque,LOC,17
Reprise,LOC,17
HORIZONTALEMENT,MISC,17
Brux,LOC,17
Bourdon,PER,17
Poix,LOC,17
Schoos,PER,17
Anversois,LOC,17
Libin,PER,17
Diesel,PER,17
Belgrade,LOC,17
Théâtres,LOC,17
JAZZ,MISC,17
CHANTS,ORG,17
Musique légère,MISC,17
Occident,LOC,17
Jeanne,PER,17
Flandres,LOC,17
Etats- Unis,PER,17
Modène,LOC,17
Dubois,LOC,17
Tour,MISC,17
Buret,LOC,17
Terre,LOC,17
Messieurs,PER,17
Merci,PER,17
de Lille,LOC,17
Cité du Vatican,LOC,17
Saint-Donat,LOC,17
Katan,PER,17
M. le Bourgmestre,PER,17
Ochamps,LOC,17
Gérouville,LOC,17
id,MISC,17
Proudhon,PER,17
Une année de chansons,MISC,17
Vandewattyne,PER,17
Khâli Singh,PER,17
Couronne,ORG,16
Rot,PER,16
Ruhr,LOC,16
F. G.,PER,16
Shanghaï,LOC,16
UN,MISC,16
Sélection,PER,16
Suite du concert,MISC,16
Déom,PER,16
Dette,MISC,16
LOTS,MISC,16
Méc,ORG,16
Auvelais,LOC,16
ENTR,ORG,16
CHEM,ORG,16
Gilly,LOC,16
Dendre,PER,16
Lin,LOC,16
Jour,MISC,16
Palestine,LOC,16
Congrès,MISC,16
Rio,LOC,16
Grand-Duché,LOC,16
Frognier,PER,16
BOUILLON,ORG,16
Stockem,LOC,16
Marbehan,PER,16
Hesse,PER,16
Stuttgart,LOC,16
St-Léger,LOC,16
Bourcy,LOC,16
FAMILLES,ORG,16
Soviets,LOC,16
Prévoyance,LOC,16
Industrie,LOC,16
Prenez,PER,16
Conc,PER,16
Concert,LOC,16
Bleus,ORG,16
Martyrs,LOC,16
La D. P.,LOC,16
Strasbourg,LOC,16
Huy,LOC,16
Emissions religieuses,MISC,16
B. B.,PER,16
Mus,LOC,16
Mermans,LOC,16
ministre de la Santé publique,ORG,16
Zeebrugge,PER,16
Schotte,LOC,16
Métropole,LOC,16
Bourgmestre,LOC,16
Wellin,LOC,16
Léopold II,PER,16
75,LOC,16
la Meuse,LOC,16
Ruanda-Urundi,LOC,16
Nizet,ORG,16
Chasseurs Ardennais,MISC,16
Neufchàteau,PER,16
Marloie,LOC,16
Bonjour,MISC,16
Peters,LOC,16
Conseils culinaires,MISC,16
Luce,MISC,16
Lawrence,PER,16
ministre de l'Agriculture,ORG,15
Helsinki,LOC,15
CONSULTATIONS,MISC,15
Bruxelles IV,PER,15
Communiqués d'intérêt général,MISC,15
Dulieu,LOC,15
Afr,PER,15
SOC,ORG,15
Colon,LOC,15
Lom,LOC,15
Chim,PER,15
Soleuvre,LOC,15
Michel,PER,15
l'Espagne,LOC,15
VAN ZEELAND,MISC,15
EUROPE,LOC,15
Commonwealth,ORG,15
Inutile,PER,15
HALANZY,MISC,15
Auriol,PER,15
Grande- Bretagne,LOC,15
d'Italie,LOC,15
Victor,PER,15
Victoire,PER,15
Berlioz,PER,15
Elec,LOC,15
fair-play,LOC,15
Chevaliers,MISC,15
de Bastogne,PER,15
Bérisménil,LOC,15
el,LOC,15
Harris,LOC,15
Gouverneur,LOC,15
Limbourg,LOC,15
Pirogov,PER,15
Justice,MISC,15
Foire,LOC,15
pièce,LOC,15
Conseil provincial,ORG,15
M. le Gouverneur,PER,15
Lesse,LOC,15
Haydn,PER,15
Vagabondage en musique,MISC,15
Génie,LOC,15
Longlier,LOC,15
Voulez,LOC,15
Anglais,MISC,15
plan Marshall,ORG,15
Jeudi matin,MISC,15
USG,ORG,15
Barvaux,PER,15
Heintz,LOC,15
Hut,MISC,15
Marcassins,LOC,15
Mauer,PER,15
Secrétaire,LOC,15
Radio,ORG,15
Jardin,PER,15
IV,MISC,15
Avez,LOC,15
Lavacherie,LOC,15
champion de France,MISC,15
Garin,PER,15
Légumes,MISC,15
kat,PER,15
Florin,LOC,15
Matin,PER,15
CONFERENCES,MISC,15
Tamise,LOC,15
Ecrire,LOC,15
Consultation Populaire,ORG,15
Hollandaise,LOC,15
CONSULTATION POPULAIRE,ORG,15
AI,ORG,15
Fr,LOC,15
Lustin,LOC,15
Prudence,LOC,15
Programme Parisien,ORG,15
Diot,PER,15
Concerts,LOC,15
Le Ménage en musique,MISC,15
Fisenne,LOC,15
JOURNAL,MISC,14
Vincent Auriol,PER,14
Birmanie,LOC,14
Savoie,LOC,14
Huysmans,PER,14
Mussolini,PER,14
Hondelange,LOC,14
Palais,LOC,14
CROISES,MISC,14
Souhaitons,PER,14
Vincent,PER,14
EAU,LOC,14
Transp,MISC,14
Met,LOC,14
Min,PER,14
Pin,LOC,14
TRANSP,MISC,14
TRAMW,LOC,14
Pays Liège,LOC,14
Obourg,LOC,14
Legagneur,PER,14
Eglise,ORG,14
l'Est,LOC,14
Bordeaux,LOC,14
Nobressart,PER,14
Arville,LOC,14
Syrie,LOC,14
Mariages,LOC,14
Pom,MISC,14
kgs,MISC,14
Pays de Galles,LOC,14
Us,LOC,14
20 fr,ORG,14
Hotton,PER,14
département d'Etat,LOC,14
Meix,PER,14
Bourcy,PER,14
Evrard,PER,14
CHEZ,ORG,14
Arthur,PER,14
M. Mundeleer,PER,14
Tamines,LOC,14
Huy,PER,14
Henry,PER,14
Singapour,LOC,14
AVEUGLES,MISC,14
Boulanger,PER,14
Bidaine,PER,14
Orban,LOC,14
Gouvernement français,MISC,14
Con-,LOC,14
Durbuy,LOC,14
Boitsfort,LOC,14
Jura,LOC,14
salade,PER,14
Maurice Delhaye,PER,14
Forrières,PER,14
Blancs,PER,14
Marie,MISC,14
Jean Sneyers,PER,14
Saint-Mard,LOC,14
parti socialiste,ORG,14
Radio-Courrier,LOC,14
Pirlot,PER,14
Matadi,LOC,14
Ebly,LOC,14
Schmitz,PER,14
Britanniques,LOC,14
Mercuriales,LOC,14
Van Roey,PER,14
Tranay,LOC,14
Espérance,LOC,14
Gouvernement de Londres,LOC,14
Reich,ORG,14
Sacrements,LOC,14
Al,PER,14
Longwy,LOC,14
République,MISC,14
Attendu,PER,14
Berchtesgaden,LOC,14
Magni,LOC,14
Dricot,PER,14
DOUBLE,ORG,14
Votants,LOC,14
Première,MISC,13
K.,LOC,13
Russes,MISC,13
Interviews,ORG,13
CA,LOC,13
Pakistan,LOC,13
M. Churchill,PER,13
St-Nicolas,LOC,13
Thomas,PER,13
Hong-Kong,LOC,13
S. Exe,PER,13
NAMUR,LOC,13
Louftémont,ORG,13
Jeu,MISC,13
Unifiée,LOC,13
Cert,LOC,13
Fil,LOC,13
Ac,LOC,13
Cologne,LOC,13
Antoine Legagneur,PER,13
Polonais,LOC,13
Chicago,LOC,13
Côte d'Azur,LOC,13
Harmonie,LOC,13
Lain,PER,13
Tellin,LOC,13
LUCKY,ORG,13
R. Gérard,PER,13
Saint-Hubert,LOC,13
NOS LECTEURS,MISC,13
Félix,PER,13
Merget,PER,13
Robert Schuman,PER,13
Décidément,LOC,13
salsifis,MISC,13
Musette,PER,13
R. Hambourg,PER,13
Gouvernement belge,MISC,13
Brésil,LOC,13
Meix,LOC,13
Marchois,LOC,13
Longlier,PER,13
Constant,PER,13
baron Michel,PER,13
NOUS,ORG,13
Mexique,LOC,13
Georges Bidault,PER,13
Eyskens,LOC,13
Commerce,LOC,13
Conseil d'Administration,ORG,13
Impanis,LOC,13
Decker,PER,13
Chronique,PER,13
Klein,PER,13
Wolkrange,LOC,13
Broch,LOC,13
Legagneur,LOC,13
Jacques Pirenne,PER,13
I',MISC,13
Seghers,MISC,13
Renaix,LOC,13
Université de Louvain,ORG,13
Mao Tse Toung,PER,13
Bucarest,LOC,13
Léonard,PER,13
Johan,LOC,13
Montegnée,LOC,13
C. G. T.,PER,13
16 h.,PER,13
Wagner G.,PER,13
Joséphine,PER,13
Lucien Henry,PER,13
Campin,PER,13
Quelles,LOC,13
Rachecourt,LOC,13
Henrion,ORG,13
Loi,MISC,13
Rendez,PER,13
Machines,LOC,13
St-Donat,LOC,13
Irlandaise,MISC,13
ENTREPR,ORG,13
Everton,LOC,13
Méditerranée,LOC,13
Jack,PER,13
Fosty,PER,13
Fr,MISC,13
Communiqués du Gouvernement,MISC,13
Howarth,ORG,13
Albert Lebrun,PER,13
Agenda de la Vie artistique,MISC,13
Leslie,PER,13
BruxeUes,MISC,12
Modène,PER,12
Li,PER,12
Churchill,PER,12
Gênes,LOC,12
Congo belge,ORG,12
Francis,PER,12
Châtillon,LOC,12
Signeulx,LOC,12
LE P. S. C.,PER,12
Lamalle,PER,12
PAYS DE,LOC,12
II,PER,12
Théâtre wallon,LOC,12
Ardennais,LOC,12
Richard,PER,12
Ray,PER,12
Division d'Honneur,MISC,12
IMM,MISC,12
Cour,LOC,12
Harm,LOC,12
Blanc,LOC,12
Bas,PER,12
— Est,LOC,12
Larchal,PER,12
Guern,LOC,12
Antoine,MISC,12
BUREAU,ORG,12
Stockholm,LOC,12
Rappel,PER,12
J. O.,PER,12
St-Martin,LOC,12
M. de Gasperi,PER,12
Freyneux,LOC,12
Ville,LOC,12
EMPRUNTS,MISC,12
Com,LOC,12
Arville,MISC,12
J. Athus,PER,12
Gaumais,LOC,12
Bâle,LOC,12
Thuillies,LOC,12
De Vleeschauwer,PER,12
L'Europe,LOC,12
Eupen,LOC,12
O. St-Hubert,LOC,12
choux-fleurs,MISC,12
R. P.,PER,12
Marche,LOC,12
Soy,LOC,12
Chestrolais,LOC,12
Michel,LOC,12
Champberger,LOC,12
C C,PER,12
K.),MISC,12
A. P.,PER,12
Acheson,PER,12
Fédération,ORG,12
Weber,PER,12
Berg,PER,12
Ettinger,MISC,12
Bellefontaine,LOC,12
BRUXELLES,LOC,12
ministère de l'Intérieur,ORG,12
F. N.,PER,12
IX,ORG,12
Thé,PER,12
Titeux,LOC,12
Oiympic,LOC,12
Beauraing,LOC,12
Dunkerque,LOC,12
Venise,LOC,12
Tribunal,MISC,12
Rihon,PER,12
Ambroes,LOC,12
Jacobs,PER,12
Malinois,LOC,12
Hubert,PER,12
Uccle,LOC,12
M. Demany,ORG,12
Université,LOC,12
Européens,LOC,12
A. S.,PER,12
x 10,MISC,12
Harre,LOC,12
Paris Inter,ORG,12
Journal Parlé régional,PER,12
DEPOTS,MISC,12
Sam,PER,12
Antwerp,MISC,12
Wiesbaden,LOC,12
Prochaine,PER,12
Assemblée nationale,ORG,12
Consultation,LOC,12
Florence,LOC,12
Rouges,LOC,12
Istace,LOC,12
M. Buset,PER,12
S. I.,LOC,12
Mon Dieu,MISC,12
Four,PER,12
Flamands,LOC,12
Langenus,PER,12
Roubaix,LOC,12
Liebig,PER,12
